,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
734,Daniel,Castelo Podence,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,53,MID
735,José,Malheiro de Sá,0,0,38,1170,23,0.0,334.6,0.0,4,220,33.5,1,0,1,1.6,50,GK
736,Pablo,Sarabia,1,2,20,190,1,124.5,98.4,70.0,2,65,29.4,1,0,1,0.2,47,MID
737,Matija,Šarkić,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,40,GK
738,Nélson,Cabral Semedo,0,0,17,1049,22,90.0,183.6,59.0,0,136,33.3,1,0,4,0.4,45,DEF
739,Toti António,Gomes,0,1,18,673,11,21.1,120.6,27.0,0,104,17.0,0,0,0,0.1,44,DEF
740,Boubacar,Traoré,0,0,8,254,9,25.3,33.2,9.0,0,39,6.9,0,0,1,0.4,44,MID
741,Matheus,Santos Carneiro Da Cunha,3,2,46,1063,20,164.5,251.8,333.0,3,160,75.0,1,0,1,1.3,55,FWD
742,Matt,Doherty,0,0,6,320,7,63.1,51.4,42.0,0,32,15.6,0,0,1,0.2,43,DEF
743,Santiago,Bueno,0,0,1,90,3,0.4,24.2,0.0,0,16,2.5,0,0,0,0.0,45,DEF
744,Enso,González,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
745,Nathan,Fraser,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,FWD
746,Jean-Ricner,Bellegarde,1,1,14,276,7,70.6,85.0,39.0,1,53,19.4,0,1,0,0.0,49,MID
