,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
469,Arthur Henrique,Ramos de Oliveira Melo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,48,MID
470,Ben,Doak,0,0,2,23,1,1.4,5.6,4.0,0,4,1.2,0,0,0,0.0,45,MID
471,Cody,Gakpo,7,3,90,1455,19,271.1,331.8,415.0,4,256,101.3,6,0,0,5.3,76,MID
472,Kyle,Walker,0,0,69,1953,20,176.2,223.8,39.0,0,376,43.8,7,0,3,4.5,47,DEF
473,Ilkay,Gündogan,8,6,132,2351,20,636.9,596.2,597.0,9,518,182.7,10,0,0,7.7,74,MID
474,Kevin,De Bruyne,7,18,183,2413,23,1476.7,897.8,598.0,26,742,297.6,10,0,1,25.5,121,MID
475,John,Stones,2,2,93,1844,17,164.1,396.0,135.0,13,422,69.6,7,0,2,8.2,56,DEF
476,Riyad,Mahrez,5,12,126,1913,23,773.4,533.6,520.0,11,470,182.5,6,0,2,8.9,75,MID
477,Jack,Grealish,5,10,121,2051,16,721.3,515.8,683.0,9,490,191.7,10,0,4,7.9,71,MID
478,João,Cancelo,2,2,73,1273,16,266.4,277.0,276.0,10,304,81.2,6,1,3,17.8,71,DEF
479,Ederson,Santana de Moraes,0,1,121,3150,32,13.1,479.0,0.0,8,581,49.2,11,0,3,15.0,54,GK
480,Nathan,Aké,1,0,92,1871,15,161.6,383.4,150.0,9,419,69.7,9,0,2,2.4,50,DEF
481,Aymeric,Laporte,0,0,40,992,10,107.8,166.2,68.0,3,210,34.1,4,0,0,0.6,56,DEF
482,Zack,Steffen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
483,Bernardo,Veiga de Carvalho e Silva,4,6,106,2196,24,515.0,492.0,424.0,9,427,143.1,7,0,5,5.9,67,MID
484,Rúben,Gato Alves Dias,0,0,80,1997,16,83.7,416.8,124.0,1,432,62.5,9,0,3,7.4,60,DEF
485,Phil,Foden,11,7,142,1832,16,670.8,671.2,712.0,15,517,205.4,5,0,1,9.7,80,MID
486,Rodrigo,Hernandez,2,6,108,2911,26,555.9,716.0,493.0,7,606,176.9,11,0,5,1.9,56,MID
487,Cole,Palmer,0,1,19,358,4,72.4,59.2,97.0,0,76,23.1,1,0,1,0.1,42,MID
488,James,McAtee,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
489,Erling,Haaland,36,9,272,2767,26,371.0,1390.0,1825.0,40,1040,358.1,13,0,5,78.4,124,FWD
490,Julián,Álvarez,9,3,103,1448,16,271.1,430.8,545.0,14,393,124.7,5,0,0,7.7,61,FWD
491,Luke,Mbete-Tabu,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,DEF
492,Josh,Wilson-Esbrand,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,38,DEF
493,Liam,Delap,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,44,FWD
494,Stefan,Ortega Moreno,0,0,23,270,1,0.0,116.8,0.0,5,90,11.7,2,0,0,1.5,37,GK
495,Kalvin,Phillips,0,0,14,291,3,46.5,39.0,19.0,0,68,10.5,1,0,1,0.1,48,MID
496,Scott,Carson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,38,GK
497,Rico,Lewis,0,0,29,900,8,152.4,114.6,40.0,0,168,30.7,2,0,1,1.1,38,DEF
498,Sergio,Gómez,0,1,21,340,6,52.8,66.2,24.0,1,83,14.3,1,0,0,0.1,44,DEF
499,Claudio,Gomes,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
500,Ben,Knight,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
501,Manuel,Akanji,0,1,82,2284,23,146.5,385.6,180.0,5,460,71.4,7,0,2,3.6,51,DEF
502,Máximo,Perrone,0,0,1,18,1,2.6,1.0,4.0,0,4,0.8,0,0,0,0.0,44,MID
503,Alex,Robertson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
504,Shea,Charles,0,0,1,27,1,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0,45,MID
505,Nico,O'Reilly,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
506,Jack,Butland,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,GK
507,Cristiano Ronaldo,dos Santos Aveiro,1,0,20,519,8,83.2,63.8,218.0,3,42,35.6,3,0,2,1.9,102,FWD
508,David,De Gea Quintana,0,0,161,3420,43,13.0,792.2,0.0,5,729,80.7,17,0,0,15.8,51,GK
509,Phil,Jones,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,38,DEF
510,Raphaël,Varane,0,0,77,1912,22,74.0,387.0,124.0,2,392,58.8,10,0,1,3.1,48,DEF
511,Harry,Maguire,0,0,39,762,7,20.3,180.6,51.0,2,201,25.2,5,0,4,0.4,47,DEF
512,Frederico,Rodrigues de Paula Santos,2,3,62,1228,22,335.9,282.2,213.0,2,272,83.0,4,0,6,0.5,51,MID
513,Luke,Shaw,1,4,124,2552,35,547.7,572.8,118.0,20,626,124.2,12,0,8,19.2,53,DEF
514,Bruno,Borges Fernandes,8,9,176,3317,39,1532.3,948.0,948.0,23,748,343.1,18,0,6,13.3,95,MID
515,Alex,Telles,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,DEF
516,Marcus,Rashford,17,7,205,2880,39,459.7,887.8,1427.0,21,530,277.6,13,0,2,37.8,72,MID
517,Donny,van de Beek,0,0,8,162,3,40.2,11.2,54.0,0,21,10.5,0,0,0,0.1,51,MID
518,Victor,Lindelöf,0,0,57,1359,16,53.5,265.0,19.0,3,327,33.9,6,0,1,1.6,41,DEF
519,Scott,McTominay,1,0,36,1149,20,122.8,242.2,156.0,2,146,51.7,4,0,8,0.2,49,MID
520,Eric,Bailly,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,40,DEF
521,Jadon,Sancho,6,3,105,1683,18,543.9,390.6,382.0,8,375,131.7,13,0,0,3.3,71,MID
522,Aaron,Wan-Bissaka,0,0,67,1432,10,221.9,290.4,143.0,3,308,65.5,8,0,2,1.8,43,DEF
523,Diogo,Dalot Teixeira,1,2,102,2152,34,418.6,469.4,272.0,19,502,116.0,10,0,6,6.3,48,DEF
524,Brandon,Williams,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,2.8,37,DEF
525,Anthony,Elanga,0,1,23,417,2,78.8,52.4,162.0,0,53,28.7,2,0,0,0.4,46,MID
526,Anthony,Martial,6,3,66,970,8,179.0,305.2,376.0,4,230,85.4,7,0,0,2.9,63,FWD
527,Facundo,Pellistri Rebollo,0,0,4,60,1,1.7,3.2,2.0,0,14,0.6,0,0,0,0.0,43,MID
528,Tom,Heaton,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,38,GK
529,Tyrell,Malacia,0,0,62,1391,14,125.8,206.4,77.0,8,287,41.1,7,0,6,1.9,42,DEF
530,Christian,Eriksen,1,9,103,2046,25,564.3,420.8,344.0,8,426,132.8,13,0,3,2.5,62,MID
531,Lisandro,Martínez,1,0,81,2113,33,110.4,571.8,82.0,6,481,76.7,9,0,6,4.7,44,DEF
532,Amad,Diallo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,MID
533,Zidane,Iqbal,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,42,MID
